,result
1397,-28.0
1398,-6.0
1399,10.0
1400,20.0
1401,14.0
1402,-16.0
1403,29.0
1404,14.0
1405,14.0
1406,12.0
1407,-18.0
1408,-5.0
1409,15.0
1410,-3.0
1411,10.0
1412,15.0
1413,-24.0
1414,10.0
1415,-5.0
1416,7.0
1417,5.0
1418,6.0
1419,31.0
1420,-9.0
1421,7.0
1422,-7.0
1423,19.0
1424,1.0
1425,-29.0
1426,-6.0
1427,-10.0
1428,-18.0
1429,-4.0
1430,4.0
1431,-2.0
1432,18.0
1433,9.0
1434,-19.0
1435,9.0
1436,9.0
1437,-13.0
1438,20.0
1439,35.0
1440,-12.0
1441,-5.0
1442,-3.0
1443,15.0
1444,-3.0
1445,-16.0
1446,-17.0
1447,21.0
1448,-10.0
1449,14.0
1450,2.0
1451,-9.0
1452,-4.0
1453,11.0
1454,-2.0
1455,23.0
1456,-6.0
1457,14.0
1458,35.0
1459,24.0
1460,6.0
1461,16.0
1462,-15.0
1463,-12.0
1464,-19.0
1465,15.0
1466,-5.0
1467,12.0
1468,2.0
1469,-25.0
1470,14.0
1471,26.0
1472,7.0
1473,9.0
1474,-15.0
1475,1.0
1476,13.0
1477,-8.0
1478,3.0
1479,-9.0
1480,-17.0
1481,16.0
1482,-21.0
1483,21.0
1484,-22.0
1485,13.0
1486,12.0
1487,-4.0
1488,23.0
1489,-3.0
1490,20.0
1491,9.0
1492,-1.0
1493,10.0
1494,-8.0
1495,-32.0
1496,-6.0
1497,10.0
1498,12.0
1499,3.0
1500,-3.0
1501,-12.0
1502,15.0
1503,-3.0
1504,-11.0
1505,6.0
1506,-15.0
1507,12.0
1508,8.0
1509,-11.0
1510,4.0
1511,31.0
1512,-12.0
1513,-1.0
1514,-3.0
1515,12.0
1516,10.0
1517,-14.0
1518,-4.0
1519,22.0
1520,-7.0
1521,-5.0
1522,-28.0
1523,5.0
1524,-9.0
1525,-15.0
1526,-2.0
1527,5.0
1528,2.0
1529,-16.0
1530,7.0
1531,22.0
1532,-4.0
1533,-4.0
1534,4.0
1535,73.0
1536,11.0
1537,-31.0
1538,-3.0
1539,5.0
1540,8.0
1541,1.0
1542,-26.0
1543,2.0
1544,-32.0
1545,-4.0
1546,-9.0
1547,2.0
1548,-7.0
1549,8.0
1550,18.0
1551,-25.0
1552,5.0
1553,-9.0
1554,14.0
1555,13.0
1556,2.0
1557,-18.0
1558,17.0
1559,22.0
1560,-19.0
1561,-15.0
1562,-18.0
1563,-12.0
1564,27.0
1565,4.0
1566,-1.0
1567,-9.0
1568,-6.0
1569,13.0
1570,-3.0
1571,3.0
1572,-6.0
1573,22.0
1574,11.0
1575,18.0
1576,-21.0
1577,-35.0
1578,17.0
1579,-32.0
1580,-2.0
1581,8.0
1582,-11.0
1583,-1.0
1584,15.0
1585,-4.0
1586,-5.0
1587,-8.0
1588,-7.0
1589,-19.0
1590,5.0
1591,-13.0
1592,21.0
1593,12.0
1594,25.0
1595,-6.0
1596,-18.0
1597,20.0
1598,4.0
1599,-8.0
